fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-07-08 12:06:00,"CENTRO 2DO CUADRO","AV. ARTES GRAFICAS Y CALLE 12","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-08 15:10:00,"CENTRO 3ER CUADRO","BLVD. DIAGONAL REFORMA Y AV. JUAREZ","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 15:30:00,"ORIENTE 1","BLVD. REVOLUCION Y CALZ. XOCHIMILCO","FELIPE ANGELES",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 16:00:00,"ORIENTE 1","ADOLFO AYMES Y DUEÑES OROZCO","ZONA INDUSTRIAL",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 18:10:00,"CENTRO 1ER CUADRO","BLVD. REVOLUCION Y TREVIÑO","CENTRO",,"CHOQUE","REVERSA",0,0,2
2015-07-08 18:25:00,"SUR 2","BLVD. RDZ TRIANA Y CALZ. DIVISION DEL NTE","RESIDENCIAL LAS MISIONES",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 18:30:00,"CENTRO 1ER CUADRO","AV. MATAMOROS Y BLANCO","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
2015-07-08 18:40:00,"SUR 2","VILLA OTE ENTRE VILLA DE CARRANZA Y AJUSCO","VILLAS DE ZARAGOZA",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-08 18:55:00,"CENTRO 1ER CUADRO","AV. ALLENDE Y FALCON","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-08 20:50:00,"CENTRO 4TO CUADRO","AV BRASIL Y RIO DE JANEIRO","SAN ISIDRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-09 11:16:00,"ORIENTE 1","BLVD. INDEPENDENCIA Y CALZ. ABASTOS","MAGDALENAS",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-09 11:54:00,"ORIENTE 1","BLVD. DIAGONAL REFORMA Y CALZ. MOCTEZUMA","MOCTEZUMA",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-09 12:00:00,"CENTRO 2DO CUADRO","BLVD. INDEPENDENCIA Y AV. ARISTA","CENTRO",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-09 12:20:00,"SUR 1","BLVD. DIAGONAL DE LAS FUENTES FRENTE AL CARCAMO","LA MERCED",,"ATROPELLADO PEATON","REVERSA",1,0,1
2015-07-09 12:29:00,"SUR 1","CALZ. LAZARO CARDENAS Y CALLE ORQUIDEAS","JARDINES DE CALIFORNIA",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-09 12:40:00,"CENTRO 2DO CUADRO","BLVD. INDEPENDENCIA Y AV. ZACATECAS","CENTRO","PARTICIPANTES SE ARREGLARON LLEGARON ASEGURADORAS","CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-09 13:38:00,"SUR 2","PASEO DE LAS GEMAS Y PASEO DEL TECNOLOGICO","RESIDENCIAL DEL NORTE",,"CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-09 13:50:00,"CENTRO 3ER CUADRO","BLVD DIAGONAL REFORMA Y CALZ. ABASTOS","CENTRO","EL RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-09 13:50:00,"CENTRO 3ER CUADRO","BLVD DIAGONAL REFORMA Y CALZ. ABASTOS","CENTRO","EL RESPONSABLE SE DIO A LA HUIDA","CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-09 14:45:00,"SUR 2","CALZ. SALTILLO 400 Y PAVORREAL","CASA BLANCA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-09 15:00:00,"ORIENTE 1","TORRE DE CRISTAL Y TORRE DE LONDRES","LAS TORRES",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-09 17:05:00,"ORIENTE 1","CALZ. SALTILLO 400 Y AV. MATAMOROS","NUEVO TORREON","NO HAY DATOS DE LOS CONDUCTORES","CHOQUE","EBRIEDAD",0,0,2
2015-07-09 17:20:00,"CENTRO 2DO CUADRO","CALZ. COLON Y AV. MORELOS","CENTRO",,"CHOQUE","ABRIR PUERTA",0,0,2
2015-07-09 20:25:00,"SUR 1","SAN JERONIMO Y DEL ARCANGEL","LA FUENTE",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-09 20:51:00,"SUR 2","BLVD. REVOLUCION Y CALZ. DIVISION DEL NORTE","DIVISION DEL NTE","****** DE ** AÑOS EMBARAZADA RESULTO ATROPELLADA","CHOQUE","FALLA MECANICA",1,0,2
2015-07-09 21:00:00,"CENTRO 3ER CUADRO","AV. ARISTA Y CALLE 14","CENTRO","NO HAY DATOS DE LOS CONDUCTORES","CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-09 21:45:00,"ORIENTE 2","PAPAGAYO Y CERRO DE LA CRUZ","CIUDAD NAZAS",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,0
2015-07-10 01:00:00,"ORIENTE 2","PASEO DEL SOL Y AV. UNIVERSIDAD","SOL DE ORIENTE",,"CHOQUE","CORTE CIRCULACION",0,0,0
2015-07-10 07:01:00,"CENTRO 3ER CUADRO","AV. CORREGIDORA Y CALLE 22","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-10 07:46:00,"SUR 2","CARRETERA A MIELERA A LA ALTURA DE MONTEBELLO","MONTEBELLO",,"CHOQUE","FALLA MECANICA",0,0,2
